User_Questions,Bot_Response
What features does internet banking have?,"Through online banking you can view balances, view and download statements, see cheques that have posted, pay utility bills, and transfer funds between your ACB accounts."
Can I see my statements online?,"Through online banking you can view balances, view and download statements, see cheques that have posted, pay utility bills, and transfer funds between your ACB accounts."
Can I view cleared cheques online?,"Through online banking you can view balances, view and download statements, see cheques that have posted, pay utility bills, and transfer funds between your ACB accounts."
What's available in online banking?,"Through online banking you can view balances, view and download statements, see cheques that have posted, pay utility bills, and transfer funds between your ACB accounts."
How do I register for online banking?,"To register for digital banking, email connect@acbonline.com and our team will set you up. There's also a Digital Banking Guide on the website to help you get started."
How do I sign up for the app?,"To register for digital banking, email connect@acbonline.com and our team will set you up. There's also a Digital Banking Guide on the website to help you get started."
Who do I email to get online banking?,"To register for digital banking, email connect@acbonline.com and our team will set you up. There's also a Digital Banking Guide on the website to help you get started."
Is there a guide for digital banking?,"To register for digital banking, email connect@acbonline.com and our team will set you up. There's also a Digital Banking Guide on the website to help you get started."
I want to enroll in internet banking,"To register for digital banking, email connect@acbonline.com and our team will set you up. There's also a Digital Banking Guide on the website to help you get started."
Is online banking free?,Transferring between your own ACB accounts and checking your balance are both free. The Bill Payment Service is also free for all ACB Caribbean account holders.
Do you charge for transfers between my accounts?,Transferring between your own ACB accounts and checking your balance are both free. The Bill Payment Service is also free for all ACB Caribbean account holders.
Are bill payments free?,Transferring between your own ACB accounts and checking your balance are both free. The Bill Payment Service is also free for all ACB Caribbean account holders.
What does digital banking cost?,Transferring between your own ACB accounts and checking your balance are both free. The Bill Payment Service is also free for all ACB Caribbean account holders.
Is checking my balance free?,Transferring between your own ACB accounts and checking your balance are both free. The Bill Payment Service is also free for all ACB Caribbean account holders.
How fast are transfers?,Transfers between your own ACB accounts are immediate. EFTs to other OECS banks and international wires take longer — wires typically 2 to 5 business days.
Is a transfer between my accounts instant?,Transfers between your own ACB accounts are immediate. EFTs to other OECS banks and international wires take longer — wires typically 2 to 5 business days.
